시간,로봇,목적지,내용,결과,소요시간,요청
2026-08-19 14:52:55,robot_ec2b,Home,목적지 출발 → 이동 취소,취소,21초,로컬 디스플레이
2026-08-19 14:52:25,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,24초,로컬 디스플레이
2026-08-19 14:51:59,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 14:51:34,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 14:51:08,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 14:50:38,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,24초,로컬 디스플레이
2026-08-19 14:50:12,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 14:49:47,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,19초,로컬 디스플레이
2026-08-19 14:49:21,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 14:48:54,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 14:48:27,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 14:48:02,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 14:47:36,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 14:47:11,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 14:46:45,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 14:46:18,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,22초,로컬 디스플레이
2026-08-19 14:45:52,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 14:45:25,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
