시간,로봇,로봇 상태,목적지 이동 명령 상태
2026-08-13 07:33:02,robot_ec2b,CHARGING,UNKNOWN
2026-08-13 07:32:55,robot_ec2b,ERROR,UNKNOWN
2026-08-13 07:32:54,robot_ec2b,CHARGING,UNKNOWN
2026-08-13 08:59:37,robot_ec2b,CHARGING,UNKNOWN
2026-08-13 08:59:38,robot_ec2b,ERROR,UNKNOWN
2026-08-13 08:59:46,robot_ec2b,CHARGING,UNKNOWN
2026-08-13 14:41:42,robot_ec2b,MANUAL,UNKNOWN
2026-08-13 14:42:08,robot_ec2b,STANDBY,UNKNOWN
2026-08-13 14:42:09,robot_ec2b,LOCKED,UNKNOWN
2026-08-13 14:43:10,robot_ec2b,STANDBY,UNKNOWN
2026-08-13 14:43:49,robot_ec2b,LOCKED,UNKNOWN
2026-08-13 14:44:49,robot_ec2b,STANDBY,UNKNOWN
2026-08-13 14:45:23,robot_ec2b,LOCKED,UNKNOWN
2026-08-13 14:50:39,robot_ec2b,STANDBY,UNKNOWN
